fips_code,prcp_1,prcp_2,prcp_3,prcp_4,prcp_5,prcp_6,prcp_7,prcp_8,prcp_9,prcp_10,prcp_11,prcp_12,tmax_1,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmax_10,tmax_11,tmax_12,tmin_1,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmin_10,tmin_11,tmin_12
48001,2.9009327115256496,2.964329268292683,3.3905606813342795,5.274802015838732,5.4824123989218325,3.368956043956044,2.1543378995433793,2.2138020833333334,2.021630960608155,2.8043624161073826,2.7723274695534506,3.5465147453083112,14.801700154559507,17.294463667820068,22.125135764158262,24.969757727652464,28.683149606299214,32.57732893652103,34.65632716049383,35.09786392405063,32.27131214343928,27.48829617834395,20.868622656886718,17.419983948635636,2.7003086419753086,5.342214532871973,9.77864906832298,12.752341137123747,17.891574803149606,21.907337180544104,23.292818532818533,23.144734758511483,19.783292583537083,13.743152866242038,8.519412724306688,5.796548956661317
48003,0.6180851063829788,0.24935897435897436,0.6341584158415842,1.4182291666666667,1.9210280373831776,2.696039603960396,1.6384615384615384,2.6390697674418604,2.541666666666667,2.53546511627907,1.3466666666666667,0.9171779141104295,13.554131054131053,16.993851132686082,22.12891891891892,26.017897727272725,30.87169811320755,34.92057142857143,35.77138643067847,35.125876010781674,31.0406528189911,25.653221288515407,19.683190883190882,16.032285714285713,-0.8225714285714286,0.9300970873786408,5.89972972972973,9.574431818181818,15.242857142857142,19.78664772727273,21.33716814159292,20.79514824797844,17.274183976261128,11.027731092436975,4.795467422096317,1.3613180515759313
48005,5.320644850818094,3.7331049024775966,4.570246305418719,6.129650278763305,7.832726401533302,4.051327885597549,3.9697628458498024,4.530124688279302,3.9202837624802944,3.8187939698492466,3.957511615900878,5.619541427826993,15.619214586255259,18.365722801788376,22.983310719131616,25.74478260869565,29.33384831460674,32.99028985507246,34.66991525423729,34.85196629213483,32.254782608695656,27.816690042075738,21.708175182481753,18.211577424023154,3.263853727144866,5.918181818181818,10.375305291723203,13.729855072463769,18.53426966292135,22.242753623188406,23.302824858757063,23.010252808988763,20.02753623188406,14.020336605890602,9.096929824561403,6.28961038961039
48007,2.281019240769631,0.9373090481786134,2.306885422270038,2.2158234660925724,4.492988929889298,4.979784366576819,2.2751154438173424,2.19440738840431,4.977037037037038,2.3201446280991735,2.2936013590033975,1.1463783783783783,18.73550135501355,21.02162962962963,24.56854521625164,27.090093708165995,30.09166666666667,32.604526748971196,33.263471502590676,34.012121212121215,32.63189415041783,29.347715053763444,24.266045845272206,21.38489304812834,7.368021680216802,10.111555555555556,15.333682830930536,18.327041499330655,22.442424242424245,25.037123287671232,25.53199481865285,25.269433465085637,23.523676880222844,18.87735849056604,14.04589928057554,10.67376171352075
48009,1.3501831501831503,1.603846153846154,2.189388489208633,2.8648936170212767,4.556282271944922,3.3040780141843973,1.5095238095238095,2.039051094890511,3.1474766355140185,2.820036764705882,1.8645522388059703,1.038867924528302,13.77741935483871,18.357142857142858,22.8,25.843333333333334,29.497142857142858,32.62456140350877,36.83114754098361,35.177419354838705,32.019999999999996,28.65483870967742,22.686666666666667,12.803225806451612,-0.9483870967741936,3.5785714285714283,7.225806451612904,11.34,15.262857142857143,20.372413793103448,22.99344262295082,21.267741935483873,17.87333333333333,12.383870967741936,7.0166666666666675,-0.3709677419354839
48011,9.9,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48013,1.1224387527839643,1.360930373973852,1.8632593766508188,2.581623235613464,4.653814538916003,2.6210790796085695,1.920980495519241,2.4163838812301166,2.9113742770586617,2.2013066666666665,1.4736767619586755,1.36007784264665,19.02657111356119,21.106876456876456,25.62473002159827,28.565482796892343,32.13957894736842,35.168646864686465,36.5788013318535,37.24720982142857,34.610321864594894,30.439096045197736,24.39222929936306,20.93171270718232,4.695330296127563,7.279380214541121,12.177222222222223,15.497152619589977,19.882119205298014,22.874942528735634,23.753543307086613,23.783333333333335,21.711073825503355,16.055607476635515,11.30706940874036,7.725
48015,3.9859531772575254,1.962528216704289,3.3217132659131474,4.753166144200627,6.169900058788948,4.418305084745763,2.593062200956938,4.336779611931654,2.692561728395062,3.105424739195231,2.9202410383189124,3.5858079904591533,15.804861111111112,18.263957597173146,23.10267558528428,25.70272373540856,29.697231833910035,32.7024,34.72455357142857,35.08086642599278,32.69067357512954,28.862222222222222,22.590222222222224,18.574501992031873,5.249828178694158,7.715384615384616,12.28523489932886,15.268339768339768,19.880887372013653,22.807569721115538,23.80660792951542,23.861785714285713,21.78838383838384,16.73612334801762,11.617826086956523,8.05843137254902
48017,0.37088082901554403,0.35238095238095235,0.4019646365422397,0.6053266331658291,2.653883495145631,2.119383697813121,2.6890384615384617,2.781244019138756,1.8967164179104479,1.7179841897233203,0.7921135646687697,0.28260427263479143,11.725024437927663,14.971075268817206,19.81120943952802,23.55020202020202,27.959589041095892,32.72494949494949,33.96519607843137,33.274780058651025,29.788776541961578,24.095112414467252,18.164747474747475,14.471163245356795,-6.627077223851417,-5.104838709677419,-0.3727630285152409,3.740707070707071,9.415753424657535,15.586565656565657,17.45343137254902,16.74037145650049,12.742972699696663,5.784261974584555,-1.017878787878788,-4.821700879765396
48019,1.8945850202429149,1.4223123349679365,1.5929710269158237,3.096418265150229,6.004364569961489,3.0045166809238664,2.4372756793710475,2.687351845580765,3.82658447647161,2.4992481203007517,2.0264299457757566,1.6975216234198272,16.843870967741935,19.008480565371023,23.509032258064515,26.856028368794323,30.000716845878134,34.01592592592593,36.23776978417266,36.14802867383513,33.233333333333334,27.87383512544803,20.813333333333333,18.47347670250896,1.3319354838709678,3.8215547703180213,8.706774193548387,11.659574468085108,17.01720430107527,20.54925925925926,21.681720430107525,21.39032258064516,18.737777777777776,12.811827956989248,7.574583333333334,3.6792114695340503
