month,precip_total_mm,tmax_avg_c,tmin_avg_c
1,142.12980095774833,13.523555415219452,0.7096137135634726
2,52.34403945414692,20.605166270783847,6.838600067957866
3,72.33639113886991,22.50750099960016,9.73218860070445
4,117.73411587155195,26.569030005818302,13.842878573214435
5,168.26762272828898,30.941368877258974,19.14007371007371
6,98.85507514996293,34.27691854594413,22.580376117389104
7,145.13114513045892,34.12292503072511,22.48478725151963
8,33.56606034382333,36.60853608247423,23.333787465940055
9,75.19165085388994,31.962124989254704,19.26716906381879
10,6.77467848757753,30.711264936135148,15.203993399339932
11,86.42327320409682,23.484686934803204,9.640624730347742
12,67.56604601372338,19.219385796545104,6.413474880882721
