,fips_code,prcp_1,prcp_2,prcp_3,prcp_4,prcp_5,prcp_6,prcp_7,prcp_8,prcp_9,prcp_10,prcp_11,prcp_12,tmax_1,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmax_10,tmax_11,tmax_12,tmin_1,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmin_10,tmin_11,tmin_12
0,48001,2.4125,2.075581395348837,1.65531914893617,6.247959183673469,7.215533980582525,8.740816326530613,1.8622448979591837,2.442268041237113,0.24226804123711337,1.8263736263736263,3.6265306122448977,0.7265957446808511,12.441935483870967,16.966666666666665,24.46413043478261,26.71222222222222,28.63763440860215,32.10609756097561,33.57741935483871,34.34301075268817,32.68777777777778,29.93440860215054,23.37333333333333,17.897849462365592,0.5602150537634409,5.889285714285714,10.836956521739129,14.876666666666669,17.723655913978497,22.229268292682924,22.843010752688173,22.59032258064516,19.116666666666667,14.651612903225807,11.224444444444444,6.673118279569893
1,48003,1.25,,,3.4666666666666663,4.166666666666666,5.2875,9.133333333333333,4.58,1.9,5.2,0.65,,10.141935483870968,17.32962962962963,23.729032258064514,26.66296296296296,30.148387096774194,34.04333333333334,32.983870967741936,35.383870967741935,31.48,27.81290322580645,22.973333333333333,19.141935483870967,-3.296774193548387,0.4185185185185185,7.190322580645161,11.851851851851851,14.693548387096774,20.78,20.003225806451614,20.429032258064517,17.44,12.26774193548387,6.833333333333333,3.0806451612903225
2,48005,4.099290780141844,7.02421875,4.2952702702702705,4.56934306569343,10.389285714285714,6.839716312056737,3.844615384615385,6.236434108527132,0.6489795918367347,3.3895652173913042,3.401550387596899,2.4419047619047616,12.698333333333334,18.09245283018868,25.05,27.655,29.68709677419355,32.98166666666667,34.44310344827586,34.46612903225807,33.410000000000004,29.951612903225804,24.119999999999997,18.475806451612904,1.1949999999999998,7.047169811320755,10.819354838709677,15.931666666666667,19.046774193548387,22.435,23.320689655172412,22.85967741935484,19.163333333333334,14.666129032258064,10.358333333333333,6.658064516129032
3,48007,1.6374384236453203,0.1489010989010989,2.8134615384615382,2.4380710659898477,4.774162679425837,3.0009756097560976,0.6645631067961165,1.400952380952381,3.124242424242424,0.4789473684210527,2.4370165745856354,0.7835978835978836,16.254838709677422,20.429333333333332,26.745161290322578,28.034444444444443,30.728089887640447,32.683146067415734,33.418279569892476,34.51720430107527,33.257777777777775,31.040860215053765,27.29111111111111,21.288043478260867,6.1956989247311824,9.162666666666667,15.165591397849463,19.75888888888889,23.069565217391304,25.71666666666667,26.126881720430106,25.119565217391305,23.73111111111111,20.5752688172043,16.405555555555555,11.37032967032967
4,48009,0.532258064516129,0.08214285714285714,1.6870967741935483,7.613333333333334,4.270967741935484,3.9166666666666665,1.1548387096774193,3.287096774193548,0.8300000000000001,0.8516129032258064,1.7899999999999998,0.041935483870967745,,,,,,,,,,,,,,,,,,,,,,,,
5,48013,1.1405737704918033,0.37586206896551727,1.6127906976744186,1.4856573705179283,3.914453125,4.523387096774194,1.8768924302788843,0.95354609929078,0.982283464566929,1.6702380952380953,0.4752895752895753,0.3036,16.27894736842105,20.7,28.975581395348836,29.922619047619047,33.57906976744186,34.01298701298701,34.67323943661972,37.52272727272727,35.20120481927711,32.504395604395604,27.05542168674699,21.25164835164835,3.0280701754385966,7.4471428571428575,10.94186046511628,15.941666666666666,19.553846153846155,22.92727272727273,22.938028169014082,23.58390804597701,21.287951807228914,17.768131868131867,12.827710843373495,8.7010989010989
6,48015,3.2002747252747255,1.5434173669467788,1.8603217158176943,1.7316526610644256,3.7856777493606137,4.6451149425287355,3.931733333333333,2.6502564102564103,1.439142857142857,1.1233802816901408,2.5193939393939395,0.4903846153846154,12.373076923076923,18.254545454545454,25.696153846153845,26.857142857142854,31.264,32.614999999999995,32.2,34.523809523809526,34.3,33.15625,26.907142857142855,17.45625,2.3423076923076924,7.269565217391305,12.008,17.142857142857142,20.642307692307693,22.615000000000002,22.966666666666665,23.376190476190477,20.77,17.8875,14.307142857142859,6.582352941176471
7,48017,0.3172043010752688,0.02857142857142857,0.1021505376344086,1.5711111111111111,2.3032608695652175,3.017708333333333,3.8,2.388297872340426,0.8673913043478262,0.7957446808510638,0.4989130434782608,0.13333333333333333,8.167741935483871,15.310714285714287,21.75698924731183,23.738888888888887,26.643478260869564,32.06,32.53655913978495,33.85268817204301,29.602222222222224,26.32795698924731,21.515555555555558,17.96344086021505,-8.944086021505376,-5.561904761904762,-0.011827956989247313,6.162222222222222,8.73913043478261,16.406666666666666,17.745161290322578,17.191397849462366,12.892222222222221,7.458064516129032,0.12555555555555556,-3.930107526881721
8,48019,1.4540337711069418,0.4211328976034858,2.085097192224622,3.0524390243902437,4.547242647058823,3.7480544747081708,5.141467889908257,3.0284615384615385,2.075257731958763,1.721518987341772,0.520703933747412,0.34807692307692306,,,,,,,,,,,,,,,,,,,,,,,,
9,48021,2.2028776978417266,2.185542168674699,1.2249107780157031,1.2615617892342683,5.16439674315322,3.4123567921440263,3.314976599063962,1.4566558441558441,0.2511415525114155,2.465764192139738,0.5166812993854257,0.4994722955145119,13.380645161290323,17.821428571428573,26.52258064516129,29.276666666666664,31.935483870967744,34.410000000000004,34.28387096774193,36.438709677419354,34.843333333333334,31.84516129032258,25.72,20.37741935483871,2.096774193548387,6.9,12.293548387096774,16.506666666666668,19.70967741935484,23.419999999999998,24.006451612903227,23.558064516129033,19.71,16.358064516129033,12.796666666666667,7.896774193548387
10,48023,0.30806451612903224,0.0642857142857143,1.0370967741935484,8.376666666666667,2.304838709677419,3.3649999999999998,2.040322580645161,2.8419354838709676,1.0483333333333333,0.732258064516129,0.9199999999999999,0.004838709677419355,10.975806451612904,14.646428571428572,24.55483870967742,25.606666666666666,28.688709677419354,33.30833333333333,35.3016129032258,35.16129032258065,33.62,29.70483870967742,23.406666666666666,18.274193548387096,-2.5370967741935484,-1.2839285714285713,7.083870967741936,12.045,15.42258064516129,21.643333333333334,23.26451612903226,22.691935483870967,19.186666666666667,15.014516129032259,7.69,2.093548387096774
11,48025,1.8880434782608695,0.2691358024691358,5.327710843373493,0.7119565217391305,4.5377551020408164,7.481481481481481,1.9907216494845361,0.7616438356164383,4.421794871794871,0.4867647058823529,1.147887323943662,1.214705882352941,15.85483870967742,20.95357142857143,28.93333333333333,29.53,32.68387096774193,33.61666666666667,34.56774193548387,37.435483870967744,34.71666666666667,32.54516129032258,27.810000000000002,20.96785714285714,3.4516129032258065,7.903571428571429,11.72258064516129,17.806666666666665,20.806451612903224,22.86,23.467741935483872,23.425806451612903,21.733333333333334,18.31290322580645,14.419999999999998,9.45
12,48027,2.467279411764706,1.0207803223070397,1.5691770186335403,2.2838223632038064,7.600385505011564,4.304042037186742,3.4829508196721313,2.2711783439490447,1.558299919807538,2.612489991993595,2.2265769554247266,0.13463780183180682,12.959677419354838,18.076576576576578,26.661290322580648,27.91166666666667,30.27950819672131,33.47927927927928,33.72741935483871,35.27768595041322,32.81170212765957,30.12882882882883,25.028181818181817,19.278125,1.2048387096774194,4.831531531531532,11.830645161290324,15.290000000000001,18.308196721311475,22.48108108108108,23.15241935483871,23.04344262295082,20.119148936170212,15.597297297297297,11.998181818181818,5.938144329896907
13,48029,1.2675064047822375,0.8263315082130414,2.181826360773729,2.6342638451148135,6.2070219966159055,5.296610169491525,2.4080136402387042,0.9629596005447117,2.8448051948051947,1.401631912964642,0.7672397769516729,0.4681753889674682,14.485806451612902,19.600714285714286,27.931612903225805,29.52266666666667,32.957419354838706,33.6530612244898,34.35986842105263,36.942384105960265,34.024324324324326,31.559354838709673,25.660000000000004,20.623376623376622,3.303225806451613,7.398571428571428,12.548387096774194,16.985333333333333,20.11032258064516,23.38639455782313,23.622368421052634,23.849668874172185,20.935135135135134,17.494838709677417,12.764,8.940909090909091
14,48031,2.4234146341463414,0.7706214689265536,1.6428176795580112,1.489873417721519,6.028125,2.9174041297935105,5.549411764705882,1.7002890173410403,1.9253164556962026,1.2978851963746223,0.794314381270903,0.1466887417218543,14.3,20.425,,,,,,,,,,,0.932258064516129,5.239285714285715,,,,,,,,,,
